Date,Type,Contact,Description,Reference,Total,LineAccountCode,LineAccountName,LineDescription,Status,BankTxnID
2020-01-28,SPEND,UBER,,,27.94,494,,,AUTHORISED,62748191-5bfd-4be6-a141-6c54af7c609d
2020-01-28,SPEND,Wolt,,,34.8,485,,,AUTHORISED,a3f4ef12-29e0-46b1-bda8-b68a6c813459
2020-02-03,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,d87f8cb2-0ffc-4fc7-af3f-0a0f54753468
2020-02-03,SPEND,Morgan Schoermer,,,81.0,880,,,AUTHORISED,39cbb9dc-3587-4977-b66d-61fce79b982d
2020-02-17,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,bad65a57-b5be-41d2-81c6-6533f009f8f7
2020-02-18,RECEIVE,Abyss Distribution,,,3000.0,260,,,AUTHORISED,3413ef90-af7c-469a-b80d-3da4cfd051af
2020-02-20,SPEND,Morgan Schoermer,,,2500.0,900,,,AUTHORISED,c219efe0-0f0a-419e-9b64-b16a6bea861f
2020-02-24,SPEND,Audible,,,16.81,485,,,AUTHORISED,d627e2c5-73ac-4421-be39-4a8af995768a
2020-02-24,SPEND,sneakersnst,,,401.46,429,,,AUTHORISED,42197413-d8b4-4cf9-85ac-e216175c8b57
2020-02-24,SPEND,Audible,,,23.37,485,,,AUTHORISED,eea0374a-d0ec-41ea-ac9a-0c79fab7afd5
2020-03-02,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,7bcf7a6e-1786-40b2-8994-8d8f2ef96c23
2020-03-02,SPEND,Spotify,,,11.99,485,,,AUTHORISED,cd085f20-0846-41fc-9a29-aeed210d0b66
2020-03-18,RECEIVE,Abyss Distribution,,,2000.0,260,,,AUTHORISED,5a0291a6-1d54-4e65-987a-e93883a34680
2020-03-18,SPEND,Morgan Schoermer,,,1500.0,900,,,AUTHORISED,fa02e394-07f3-4ac0-b7ec-afbd6aa95879
2020-03-19,SPEND,expressvpn,,,22.55,485,,,AUTHORISED,7087a7f9-7518-413f-ae0e-213dd45938c7
2020-03-19,SPEND,Morgan Schoermer,,,68.28,900,,,AUTHORISED,446b0707-b6d0-4203-af95-e26db52616a8
2020-03-19,SPEND,iparts4u,,,261.31,710,,,DELETED,de0b4a8b-c166-4c34-aff4-25ce14d1ac70
2020-03-19,SPEND,iparts4u,,,261.31,473,,,AUTHORISED,a191c497-7b62-4b63-aa9b-b6d4cae39201
2020-03-20,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,2fda8c3a-39da-4c0e-b0b2-6d8f86af9117
2020-03-23,SPEND,Audible,,,19.08,485,,,AUTHORISED,1ad1b233-e75e-4092-9fdd-841c50700f65
2020-03-23,SPEND,Audible,,,26.72,485,,,AUTHORISED,66466caa-7831-435f-8a80-b48ba05f2c91
2020-03-24,SPEND,Spotify,,,11.99,485,,,AUTHORISED,ea5cd8a5-eb76-4174-b566-c630ab660e20
2020-03-31,SPEND,Interest,,,0.06,437,,Interest Received Earned ,AUTHORISED,1cdf215f-acef-426c-9033-db7676b50a28
2020-04-01,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,453bbc51-c266-46c4-ad5b-2b276a1f6e6f
2020-04-08,SPEND,Dropbox,,,30.79,485,,,AUTHORISED,70989d8a-0754-48e8-89e4-619c93976cbb
2020-05-01,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,cf9f46b8-b64b-4b60-b263-5cdb22a1af8b
2020-06-01,SPEND,Native Instruments,,,79.0,710,,,AUTHORISED,c7b050cc-ad21-478d-9592-1635b57a08a0
2020-06-01,SPEND,Westpac Bank,,,10.0,404,,Bank Fees,AUTHORISED,47359a04-b87b-46df-8adf-20f67357e4c4
2020-06-08,RECEIVE,Abyss Distribution,,,2000.0,260,,,AUTHORISED,4a4afc49-0bb0-4d2e-a9b1-048190dc74c3
2020-06-08,SPEND,Audible,,,22.21,485,,,AUTHORISED,b6aca1db-3ba7-49bb-a7a2-c4ce88b1691e
2020-06-08,SPEND,Audible,,,16.77,485,,,AUTHORISED,6c6a23a0-48ed-401b-b1cc-e458a53e5695
2020-06-15,SPEND,Dropbox,,,184.67,485,,,AUTHORISED,6ff5bb8a-2541-4d31-ac71-badcab58711d
2020-06-16,SPEND,Morgan Schoermer,,,1500.0,900,,,AUTHORISED,6f122558-3c1b-4446-b110-bd5b378c00ec
2020-06-16,SPEND,Morgan Schoermer,,,65.61,900,,,AUTHORISED,f5a63519-b1d2-47fc-bccc-78310ca33757
2020-06-18,SPEND,Spotify,,,11.99,485,,,AUTHORISED,165bfe26-ec19-48b6-9e9a-fc237067d024
2020-06-22,SPEND,Audible,,,22.52,485,,,AUTHORISED,23c83599-0acc-47d6-9e51-4b281deac5aa
2020-06-22,SPEND,Takeaway.com,,,33.95,420,,,AUTHORISED,73a99535-6752-470f-a19b-798fadbb3827
2020-06-22,SPEND,Audible,,,16.79,485,,,AUTHORISED,afae6a4d-c246-4a40-9b89-9a36f768343d
2020-06-24,SPEND,Rebtel,,,10.16,453,,Calling Cards,AUTHORISED,8f3155d6-48a1-4778-9113-98416f9133e9
2020-06-25,SPEND,Ableton,,,32.16,485,,,AUTHORISED,10aba097-5ccb-4a73-8a77-cdba6f575b46
2020-06-30,SPEND,Interest,,,0.02,437,,Interest Received Earned ,AUTHORISED,80bd21d1-9daf-4259-80d7-d030486f3c77
2022-07-01,SPEND,Westpac Bank,,,10.0,404,,,AUTHORISED,5a753818-72d2-4b6a-9e90-298e20622819
2022-07-04,SPEND,Morgan Schoermer,,,40.0,900,,,AUTHORISED,c72bab42-de55-428a-ba8f-517220ee9bba
2022-07-04,SPEND,Morgan Schoermer,,,20.33,420,,Owner's Lunch,AUTHORISED,12a7ef97-a6d2-4294-8d28-0ef407eb0e14
2022-07-04,SPEND,Puma Fuel,,,40.01,449,,Fuel,AUTHORISED,9129a881-0fa4-441a-8f4e-37f054217416
2022-07-04,SPEND,Bunnings,,,45.29,429,,Packaging,AUTHORISED,6d095a56-93c5-4109-88de-23661371f60d
